frame_id,channel,phy_x,phy_y,,,,,0,-1,0
2793,front,-263.73468,362.652588,,,,,2793,-1,0
2794,front,-255.794724,359.756409,,,,,2794,-1,0
2795,front,-248.085739,356.971008,,,,,2795,-1,0
2796,front,-248.085739,356.971008,,,,,2796,-1,0
2797,front,-253.720947,375.806305,,,,,2797,-1,0
2798,front,-259.98233,396.485962,,,,,2798,-1,0
2799,front,-251.773254,393.197876,,,,,2799,-1,0
2800,front,-251.773254,393.197876,,,,,2800,-1,0
2801,front,-243.802246,390.038574,,,,,2801,-1,0
2802,front,-236.055786,387.001068,,,,,2802,-1,0
2803,front,-256.855957,436.609192,,,,,2803,-1,0
2804,front,-273.979034,468.305237,,,,,2804,-1,-1
2805,front,-264.624695,463.896729,,,,,2805,-2,1
2807,front,-255.55809,459.672699,,,,,2807,-1,0
2808,front,-238.221634,451.739899,,,,,2808,-1,0
2809,front,-245.404678,480.827026,,,,,2809,-1,0
2810,front,-236.613449,476.640869,,,,,2810,-1,0
2811,front,-236.613449,476.640869,,,,,2811,-1,0
2812,front,-228.070251,472.627045,,,,,2812,-1,-2
2813,front,-219.761795,468.778076,,,,,2813,-3,2
2816,front,-217.744553,495.86438,,,,,2816,-1,0
2817,front,-209.392807,491.879669,,,,,2817,-1,-8
2818,front,-209.392807,491.879669,,,,,2818,-9,8
2827,front,-221.043457,305.334564,,,,,2827,-1,0
2828,front,-224.746155,319.55838,,,,,2828,-1,-5
2829,front,-218.195038,317.503357,,,,,2829,-6,5
2835,front,-187.28717,336.08313,,,,,2835,-1,0
2836,front,-181.320312,334.154846,,,,,2836,-1,0
2837,front,-175.483414,332.292694,,,,,2837,-1,-3
2838,front,-169.770615,330.494629,,,,,2838,-4,2
2842,front,-162.709152,360.196045,,,,,2842,-2,1
2844,front,-159.023315,376.9935,,,,,2844,-1,0
2845,front,-161.4095,397.61734,,,,,2845,-1,0
2846,front,-164.103439,420.436157,,,,,2846,-1,0
2847,front,-157.597046,417.932739,,,,,2847,-1,-1
2848,front,-151.221771,415.524323,,,,,2848,-2,1
2850,front,-138.838593,410.979401,,,,,2850,-1,0
2851,front,-138.838593,410.979401,,,,,2851,-1,0
2852,front,-134.280716,432.980286,,,,,2852,-1,0
2853,front,-128.072952,430.7052,,,,,2853,-1,-6
2854,front,-121.972786,428.520233,,,,,2854,-7,-3
2861,front,-86.569397,442.499817,,,,,2861,-10,9
2871,front,-35.275864,488.75946,,,,,2871,-1,0
2872,front,-29.332788,487.382721,,,,,2872,-1,0
2873,front,-23.431585,486.095245,,,,,2873,-1,0
2874,front,-23.431585,486.095245,,,,,2874,-1,0
2875,front,-17.567785,484.896271,,,,,2875,-1,0
2876,front,-11.227476,452.143372,,,,,2876,-1,0
2877,front,0,0,,,,,2877,-1,0
2878,front,-5.935166,482.757629,,,,,2878,-1,0
2879,front,-0.158027,481.815491,,,,,2879,-1,0
2880,left,0,0,,,,,2880,-1,0
2881,left,0,0,,,,,2881,-1,0
2882,left,0,0,,,,,2882,-1,0
2883,left,0,0,,,,,2883,-1,0
2884,left,0,0,,,,,2884,-1,0
2885,left,0,0,,,,,2885,-1,0
2886,left,0,0,,,,,2886,-1,0
2887,front,0,0,,,,,2887,-1,0
2888,front,0,0,,,,,2888,-1,0
2889,front,0,0,,,,,2889,-1,0
2890,left,0,0,,,,,2890,-1,0
2891,left,0,0,,,,,2891,-1,0
2892,left,0,0,,,,,2892,-1,0
2893,left,0,0,,,,,2893,-1,0
2894,left,0,0,,,,,2894,-1,0
2895,left,0,0,,,,,2895,-1,0
2896,left,0,0,,,,,2896,-1,0
2897,left,0,0,,,,,2897,-1,0
2898,left,0,0,,,,,2898,-1,0
2899,left,0,0,,,,,2899,-1,0
2900,left,0,0,,,,,2900,-1,0
2901,left,0,0,,,,,2901,-1,0
2902,left,0,0,,,,,2902,-1,0
2903,left,0,0,,,,,2903,-1,0
2904,left,0,0,,,,,2904,-1,0
2905,left,0,0,,,,,2905,-1,0
2906,left,0,0,,,,,2906,-1,0
